Transaction_ID,Date,Store_Name,City,Customer_Name,Gender,Segment,Product_Name,Category,Size,Quantity,Unit_Price,Employee_Name,Position
TRX-20240101-00001,2024-01-01,Pramice Central Mall,Jakarta Pusat,Dewi Lestari 32,Male,Student,Cookies & Cream Cone,Cone,Large,1,20000,Bayu Pratama,Store Supervisor
TRX-20240101-00002,2024-01-01,Pramice Braga Street,Bandung,Dewi Lestari 12,Male,Student,Vanilla Velvet Cone,Cone,Regular,2,15000,Rian Hidayat,Cashier
TRX-20240101-00003,2024-01-01,Pramice Braga Street,Bandung,Joko Widodo 76,Male,Regular,Double Choco Fudge,Scoop,Large,2,25000,Nadia Fitri,Barista
TRX-20240101-00004,2024-01-01,Pramice Sunset Road,Badung,Siti Rahma 49,Female,Member,Vanilla Velvet Cone,Cone,Regular,2,15000,Rian Hidayat,Cashier
TRX-20240101-00005,2024-01-01,Pramice Central Mall,Jakarta Pusat,Joko Widodo 71,Female,Student,Matcha Green Tea Scoop,Scoop,Regular,1,22000,Rian Hidayat,Cashier
TRX-20240101-00006,2024-01-01,Pramice Sunset Road,Badung,Eko Prasetyo 13,Female,Member,Vanilla Velvet Cone,Cone,Regular,2,15000,Siska Dewi,Cashier
TRX-20240101-00007,2024-01-01,Pramice South Hills,Jakarta Selatan,Siti Rahma 90,Male,Student,Cookies & Cream Cone,Cone,Large,2,20000,Bayu Pratama,Store Supervisor
TRX-20240101-00008,2024-01-01,Pramice South Hills,Jakarta Selatan,Budi Santoso 99,Male,Regular,Cookies & Cream Cone,Cone,Large,3,20000,Bayu Pratama,Store Supervisor
TRX-20240101-00009,2024-01-01,Pramice Sunset Road,Badung,Anisa Putri 51,Male,Member,Double Choco Fudge,Scoop,Large,1,25000,Nadia Fitri,Barista
TRX-20240102-00010,2024-01-02,Pramice Braga Street,Bandung,Fajar Nugroho 18,Female,Regular,Strawberry Breeze Sundae,Sundae,Medium,2,30000,Siska Dewi,Cashier
TRX-20240102-00011,2024-01-02,Pramice South Hills,Jakarta Selatan,Siti Rahma 77,Female,Member,Cookies & Cream Cone,Cone,Large,2,20000,Nadia Fitri,Barista
TRX-20240102-00012,2024-01-02,Pramice Central Mall,Jakarta Pusat,Fajar Nugroho 88,Female,Student,Cookies & Cream Cone,Cone,Large,1,20000,Rian Hidayat,Cashier
TRX-20240102-00013,2024-01-02,Pramice Central Mall,Jakarta Pusat,Ahmad Fauzi 65,Male,Student,Cookies & Cream Cone,Cone,Large,1,20000,Bayu Pratama,Store Supervisor
TRX-20240102-00014,2024-01-02,Pramice South Hills  ,Jakarta Selatan,Fajar Nugroho 70,Male,Student,Strawberry Breeze Sundae,Sundae,Medium,1,30000,Siska Dewi,Cashier
TRX-20240102-00015,2024-01-02,Pramice Sunset Road,Badung,Maya Sari 31,Male,Regular,Double Choco Fudge,Scoop,Large,2,25000,Rian Hidayat,Cashier
TRX-20240102-00016,2024-01-02,Pramice South Hills,Jakarta Selatan,Ahmad Fauzi 71,Female,Student,Double Choco Fudge,Scoop,Large,3,25000,Nadia Fitri,Barista
TRX-20240102-00017,2024-01-02,Pramice South Hills,Jakarta Selatan,Rina Melati 52,Female,Student,Cookies & Cream Cone,Cone,Large,1,20000,Bayu Pratama,Store Supervisor
TRX-20240102-00018,2024-01-02,Pramice Central Mall,Jakarta Pusat,Dewi Lestari 76,Male,Regular,Mango Tango Milkshake,Milkshake,Large,2,35000,Siska Dewi,Cashier
TRX-20240102-00019,2024-01-02,Pramice Central Mall,Jakarta Pusat,Dewi Lestari 66,Female,Student,Strawberry Breeze Sundae,Sundae,Medium,1,30000,Rian Hidayat,Cashier
TRX-20240102-00020,2024-01-02,Pramice Braga Street,Bandung,Dewi Lestari 53,Male,Regular,Double Choco Fudge,Scoop,Large,2,25000,Nadia Fitri,Barista
TRX-20240102-00021,2024-01-02,Pramice Central Mall,Jakarta Pusat,Eko Prasetyo 8,Female,Regular,Cookies & Cream Cone,Cone,Large,1,20000,Rian Hidayat,Cashier
TRX-20240102-00022,2024-01-02,Pramice Braga Street,Bandung,Dewi Lestari 60,Male,Member,Double Choco Fudge,Scoop,Large,3,25000,Bayu Pratama,Store Supervisor
TRX-20240102-00023,2024-01-02,Pramice Central Mall,Jakarta Pusat,Eko Prasetyo 22,Female,Member,Vanilla Velvet Cone,Cone,Regular,1,15000,Siska Dewi,Cashier
TRX-20240103-00024,2024-01-03,Pramice Central Mall,Jakarta Pusat,Joko Widodo 59,Female,Student,Matcha Green Tea Scoop,Scoop,Regular,4,22000,Bayu Pratama,Store Supervisor
TRX-20240103-00025,2024-01-03,Pramice Braga Street,Bandung,Dewi Lestari 38,Male,Student,Double Choco Fudge,Scoop,Large,2,25000,Siska Dewi,Cashier
